Assumption Category,Assumption Statement,What Would Break If Wrong,Verified?,Impact If Wrong,Mitigation or Fallback,Notes
Entity cardinality,"Each account has exactly one active product. The health scoring workflow evaluates a single product's usage metrics, ticket history, and engagement data per account.","If an account has multiple active products, the health scoring step (Step 9) would produce a single score that conflates the health of different products — a healthy Product A could mask a failing Product B. The engagement assessment (Step 7) would need to evaluate and weight each product separately, the state schema in Stage 4 would need a product-level loop, and the scoring rubric in Stage 5 would need per-product dimensions.",Needs investigation,"Stage 3 (workflow map Steps 7 and 9 would need product-level sub-steps), Stage 4 (state schema needs a product-level loop within the account-level workflow), Stage 5 (scoring rubric config needs per-product dimensions and a product-weighting strategy)","If multi-product accounts exist: (1) add a product enumeration step after Step 1 that lists active products per account, (2) loop Steps 3, 7, and 9 per product, (3) add a product-level health roll-up step that aggregates into an account-level score. Alternatively, scope v1 to single-product accounts only and flag multi-product accounts for manual review.","THIS IS THE ASSUMPTION MOST LIKELY TO BE MISSED. It is invisible because the worked example implicitly assumes one product per account. Surface this explicitly during scoping and verify against the actual account base before proceeding to Stage 4."
Entity cardinality,"Each account has one primary CSM (Customer Success Manager) who owns the review and has the relationship context needed for HIL steps. The workflow does not account for shared ownership, account transitions, or accounts in a handover state.","If an account has shared ownership or is mid-transition between CSMs, the HIL steps (5, 6, 7, 8, 9, 11, 12) may route to a reviewer who lacks the full relationship context. Sentiment interpretation (Step 5) and risk identification (Step 8) depend on deep account knowledge that a new or secondary owner may not have.",Needs investigation,"Stage 4 (HIL routing logic may need to support multiple reviewers or a primary/secondary reviewer model), Stage 12 (distribution list approval may require sign-off from both outgoing and incoming CSM during transitions)","For v1, require that the CSM running the workflow is the current primary owner with full account context. Flag accounts in transition for manual processing. Add a pre-flight check at workflow start that confirms the operator is the current account owner.","Accounts in transition are a known pain point in CS orgs. The workflow should surface this constraint rather than silently assuming single ownership."
Temporal / frequency,"The workflow runs on a quarterly cadence (once per quarter per account) and all data sources provide data that is current as of the quarter-end date. Metrics are compared quarter-over-quarter using aligned quarterly boundaries.","If the workflow runs mid-quarter or on a different cadence, the quarter-over-quarter comparisons in Steps 6 and 7 would compare partial quarters against full quarters, producing misleading trend data. If data sources have different refresh rates (e.g. Mixpanel data lags by 48 hours but Zendesk is real-time), metrics from the same nominal date range may represent different actual time windows.",No,"Stage 3 (date range parameters in Steps 2-4 need to account for data freshness lag), Stage 5 (data retrieval nodes need configurable date ranges with freshness checks)","Define explicit date range parameters at workflow start (quarter_start, quarter_end) rather than calculating from current date. Add a data freshness check: for each data source, verify that the most recent data point falls within the expected range. If any source lags by >72 hours, flag the gap in the report header.","If the workflow is later adapted to monthly or ad-hoc cadence, the comparison logic in Steps 6-7 and the scoring thresholds in Step 9 would need recalibration — thresholds calibrated for quarterly trends may over- or under-flag on shorter time horizons."
Temporal / frequency,"Support ticket data (Zendesk) is available in near-real-time via API, and ticket metadata (severity, resolution time, CSAT) is populated at the time of query.","If ticket data has a processing delay (e.g. CSAT scores are only populated 24-48 hours after ticket closure), the ticket health assessment in Step 6 could miss recent resolutions or use incomplete CSAT data for recently closed tickets. The SLA compliance calculation could count tickets as still-open that were resolved but not yet synced.",Needs investigation,"Stage 5 (data retrieval node for Zendesk may need a staleness buffer — e.g. only evaluate tickets closed ≥48 hours ago for CSAT completeness)","Run the workflow 48-72 hours after quarter-end to allow ticket metadata to fully populate. Alternatively, add a CSAT completeness check: if >10% of closed tickets lack CSAT scores, note the gap and calculate CSAT on responded tickets only with the response rate disclosed.","This is a common data quality issue with support platforms. The CSAT response rate gap is already noted in the Data Inventory, but the timing dependency is a separate constraint."
Access / permissions,"All six data sources (Salesforce, Zendesk, Mixpanel, Slack, SLA config, health framework config) have programmatic API access with appropriate read permissions granted to the agent's service account or bot identity.","If any data source requires manual export (e.g. product usage data is only available via a dashboard CSV download, or Slack channels require manual search because the bot lacks channel membership), the corresponding Steps 1-4 cannot be automated. The AUTOMATE boundary tag for those steps would need to change to MANUAL, fundamentally altering the workflow's automation profile.",Needs investigation,"Stage 3 (boundary tags for Steps 1-4 may need revision), Stage 4 (manual steps cannot become LangGraph nodes — they become external dependencies with wait states), Stage 5 (build scope shrinks if data retrieval is manual)","For each data source, verify API access before starting Stage 4. If a source lacks API access: (1) check if an API can be enabled (e.g. Slack bot permissions), (2) if not, check if a scheduled export can serve as a workaround (e.g. nightly CSV export from Mixpanel to a shared drive), (3) if neither, reclassify the step as MANUAL and adjust the workflow map.","This is the single most common blocker in practice. Teams assume API access exists and discover during build that permissions haven't been granted, the API doesn't expose the needed fields, or the API requires an upgrade to a higher platform tier."
Access / permissions,"The agent will not have direct access to send the final report to stakeholders — distribution (Step 12) remains entirely manual. The agent produces the report; the human sends it.","If the agent were granted send access (e.g. email API or Slack message posting), the irreversibility risk at Step 12 increases dramatically. A malformed, incomplete, or tone-deaf report sent automatically to executives cannot be unsent. The safety boundary that makes the entire workflow trustworthy depends on this constraint.",Yes,"Stage 3 (if reversed, Step 12 boundary would change from MANUAL to AUTOMATE or HIL, requiring a new approval checkpoint), Stage 4 (would need a confirmation node with explicit human approval before send), Stage 5 (would need email/Slack integration with send permissions)","Maintain this as a hard constraint for v1. If distribution automation is desired in future versions, implement it as a two-step process: (1) agent prepares the distribution (draft email, recipient list) and presents for approval, (2) human clicks a single confirm button to send. Never auto-send without explicit human confirmation.","This is a deliberate safety boundary, not a limitation. Keeping distribution manual is a design choice that makes the rest of the automation trustworthy. Revisit only after multiple quarters of successful operation."
Access / permissions,"Slack bot token has search:read scope and the bot is a member of all relevant customer channels (including private channels where account-specific discussions occur).","If the bot lacks access to private channels, Slack search results (Step 4) will be incomplete — potentially missing the most sensitive and informative discussions about the account. The sentiment analysis in Step 5 would be based on an incomplete picture, potentially producing a falsely neutral or positive sentiment reading.",Needs investigation,"Stage 3 (Step 4 output quality degrades, Step 5 sentiment accuracy drops), Stage 5 (Slack integration setup must include channel membership verification)","Before workflow launch, audit which channels discuss each account and verify bot membership. For channels where the bot cannot be added (e.g. confidential executive channels), document the gap and instruct the CSM to manually supplement the Slack data during the Step 5 HIL review. Add a completeness note to Step 5 output: 'Slack coverage: X of Y known channels searched.'","Slack channel access is often fragmented — some discussions happen in public channels, some in private, some in DMs. The bot will never have complete coverage. The Step 5 HIL checkpoint exists partly for this reason."
Stability / change rate,"The health scoring framework (Green/Amber/Red criteria, SLA targets by severity, tier-specific engagement benchmarks) is defined, agreed upon by the CSM team, and stable for at least the current quarter. No mid-quarter changes to scoring thresholds or tier definitions.","If scoring criteria change mid-quarter, accounts reviewed before the change would have different scores than accounts reviewed after — producing inconsistent health ratings across the portfolio. Quarter-over-quarter comparisons would be invalid because the baseline changed. Trust in the scoring system erodes if stakeholders notice inconsistencies.",Needs investigation,"Stage 5 (config/scoring_rubric.yaml would need versioning — each report must record which config version was used), Stage 3 (if criteria change frequently, the constraint should be relaxed and the workflow should include a config version check at startup)","Externalise all scoring criteria as config (this is already planned for Stage 5). Add a config version identifier and include it in every generated report. If a mid-quarter change is unavoidable, re-run prior accounts with the new config and note the version change. Alternatively, lock config changes to quarter boundaries.","The worked example captures detailed scoring criteria in Steps 6, 7, and 9 specifically so they can be externalised as config in Stage 5. This constraint ensures that externalisation is meaningful — if the criteria change constantly, config externalisation becomes config management overhead."
Stability / change rate,"Zendesk ticket schema (severity levels P1-P4, ticket status values, CSAT rating scale) and Salesforce account object schema (field names for ARR, contract dates, tier, key contacts) remain consistent and do not change during the quarter.","If Zendesk renames severity levels or adds new ones (e.g. introducing P0 for critical outages), the SLA calculations in Step 6 would fail or silently produce incorrect results — the new severity level wouldn't match any SLA target in config. If Salesforce field names change (e.g. a custom field is renamed during a CRM cleanup), Step 1 data retrieval would return empty or error results.",Needs investigation,"Stage 5 (data retrieval and parsing code would need updates, SLA config would need new severity entries), Stage 3 (if schemas are unstable, add a schema validation step at workflow start)","Add schema validation at the start of each workflow run: verify that expected fields exist and contain expected value types before proceeding. If a field is missing or has unexpected values, halt the affected step and alert the operator rather than silently continuing with bad data. For Zendesk severity changes, the SLA config should map severity names rather than assuming P1-P4 are fixed.","Schema changes in SaaS platforms are announced but not always communicated to all teams. A CRM admin renaming a custom field can silently break data retrieval. Defensive validation is cheaper than debugging incorrect reports."
Processing model,"The agent processes one account at a time, sequentially. The workflow runs for a single account from Step 1 through Step 12 before starting the next account. Batch processing (running all accounts in parallel) is a future enhancement, not a v1 requirement.","If accounts are processed in parallel (e.g. to meet a deadline), API rate limits across all data sources would be hit simultaneously — Slack's 20 requests/minute limit across 50 concurrent account workflows would be exhausted immediately. State management would need to handle concurrent checkpoint writes for different accounts without interference. Error handling for one account's API failure could not be allowed to affect other accounts' processing.",No,"Stage 4 (state schema would need account-level isolation, the graph would need a batch orchestration layer above the single-account workflow), Stage 5 (rate limiting would need global coordination across concurrent runs, checkpointing would need account-level namespacing)","For v1, process accounts sequentially. If throughput becomes a bottleneck (e.g. 50+ accounts to review in the first week of the quarter), implement a simple queue: accounts are processed one at a time but the queue manages ordering and tracks completion. True parallelism is a v2 enhancement that requires rate limit pooling and concurrent state management.","Sequential processing is simpler to build, debug, and trust. The quarterly cadence means throughput pressure is concentrated in the first week of the quarter — plan the processing schedule accordingly."
Processing model,"Slack search results will contain noise (false positives, off-topic messages, automated bot messages) and the workflow is designed to over-retrieve in Step 4 and filter in Step 5. The signal-to-noise ratio varies significantly by account.","If the reverse is true — Slack results are too sparse or too clean — the sentiment analysis in Step 5 would lack sufficient data points to form a reliable sentiment reading. Accounts with minimal Slack activity would get an 'insufficient data' flag, which is correct behavior, but if many accounts fall into this category, the sentiment dimension becomes uninformative across the portfolio.",No,"Stage 3 (if Slack coverage is too sparse, consider adding alternative sentiment sources — e.g. email tone analysis, NPS survey data), Stage 5 (the Slack retrieval node may need to search broader date ranges or additional channels to increase coverage)","For accounts with sparse Slack data: (1) mark sentiment as 'insufficient data' rather than guessing, (2) surface this gap in the report so the CSM can manually supplement, (3) consider expanding search to include email or other communication channels as alternative sentiment sources in v2.","The over-retrieve-then-filter design is intentional. The cost of retrieving too many Slack messages is low (the LLM can process them in Step 5). The cost of missing a critical signal is high (incorrect sentiment assessment leading to wrong health score)."
,,,,,,
,,,,,,
,,,,,,
,,,,,,
