Node Name,Purpose,Node Type,Tools,Logic,Prompt Pattern,Error Handling,Input State Fields,Output State Fields,Edge Type,Notes
gather_data,Retrieve all raw data for the account from external APIs,Data Gathering,"CRM API wrapper; Support API wrapper; Usage data API wrapper; Slack search wrapper","1. Read account_id and quarter from state. 2. Construct date range from quarter value. 3. Call CRM API wrapper with account_id to retrieve account metadata (ARR / contract dates / tier / key contacts). 4. Call Support API wrapper with account_id and date range to retrieve ticket records (handle pagination if results span multiple pages). 5. Call Usage data API wrapper with account_id and date range to retrieve product metrics (DAU/MAU / feature adoption / API error rates). 6. Call Slack search wrapper with account_id and date range to retrieve relevant customer channel threads. 7. Store each API response in the corresponding state field. All four API calls are independent and should be parallelised internally using async calls.","N/A — this node makes no LLM calls. It performs deterministic data retrieval from four external APIs.","If any data source API call fails (HTTP error / timeout / authentication error): store an error marker dict (e.g. {error: true / source: 'CRM API' / reason: 'HTTP 503 timeout'}) in the relevant state field and continue with remaining sources. Do not abort the graph — downstream nodes handle partial data. If a source returns an empty result set: store the empty result (not an error marker) — empty data is a valid state that analyse_health handles separately from errors.","account_id; quarter","crm_data; tickets; usage_data; slack_threads","Unconditional → analyse_health","The four API calls can be parallelised internally. This keeps the graph topology simple (one node) while still getting concurrency benefits. Use fan-out at the graph level only when parallel branches have different logic not just different data sources."
analyse_health,Perform quantitative and qualitative analysis on gathered data across three health dimensions (tickets / usage / sentiment),LLM Analysis,"LLM (Claude) — three separate calls, one per analysis dimension","1. Check each upstream data field for error markers. For any field containing an error marker: skip that dimension and record a gap (score: 'Unknown') rather than sending bad data to the LLM. 2. Ticket analysis: load raw ticket data from tickets state field. Calculate volume trends / severity distribution / MTTR vs SLA targets / CSAT trends. Pass computed metrics and raw data to LLM for interpretation and scoring. 3. Usage analysis: load usage metrics from usage_data state field. Calculate DAU/MAU trends / feature adoption rates / API error rates. Pass to LLM for comparison against benchmarks and scoring. 4. Sentiment analysis: load Slack threads from slack_threads state field. Pass to LLM for theme identification / sentiment assessment / flagging specific threads for human attention. 5. On rework passes (when rework_instructions is present): include the reviewer's instructions as a focus-area section in all three prompts. 6. Store each analysis result in the corresponding state field. Each dimension runs independently — failure in one does not block others.","Three separate prompts — one per analysis dimension. Each receives account_name and quarter as account context. (1) Ticket analysis prompt: provide raw ticket data from tickets state field + SLA thresholds from sla_benchmarks section of scoring rubric config + account_tier from crm_data for tier-contextualised evaluation. Output format: JSON with keys {score: str / trend: str / volume_vs_previous_quarter: str / key_issues: [str] / sla_compliance: str / details: str}. (2) Usage analysis prompt: provide usage metrics from usage_data state field + adoption thresholds from adoption_benchmarks section of scoring rubric config. Output format: JSON with keys {score: str / trend: str / feature_adoption: str / details: str}. (3) Sentiment analysis prompt: provide Slack messages from slack_threads state field. No config section — sentiment assessed qualitatively from thread content. Output format: JSON with keys {score: str / summary: str / key_threads: [str]}. On rework passes all three prompts include rework_instructions as a focus-area section.","If an upstream data field contains an error marker: skip that dimension and record score as 'Unknown' — do not send error data to the LLM. If the LLM returns malformed JSON for any dimension: retry with a stricter format instruction (up to 2 retries per dimension). If retries exhausted: escalate via interrupt() with the failure context and raw data so the human can intervene. Each dimension fails independently — a parse failure in ticket analysis does not block usage or sentiment analysis.","crm_data; tickets; usage_data; slack_threads; rework_instructions (on rework pass)","ticket_analysis; usage_analysis; sentiment_analysis","Unconditional → hil_review_analysis","Consolidates Scope Steps 5-7. Three LLM calls can be parallelised internally since each dimension is independent. Scoring criteria are externalised to a config file — not hardcoded — so thresholds can be updated without code changes."
hil_review_analysis,Pause execution and present all three analyses to the human for validation and enrichment,HIL Feedback-as-Context,"None — uses interrupt() to pause execution","1. Format a summary of all three analyses (ticket_analysis / usage_analysis / sentiment_analysis) including scores / trends / key findings / evidence for each dimension. 2. Call interrupt() with the formatted summary payload. Execution pauses here. 3. When the human responds via Command(resume=<feedback string>): store the freeform input in analysis_human_feedback. 4. The raw analyses remain unchanged in state — preserving the audit trail of what the agent produced vs what the human corrected.","N/A — this node makes no LLM calls. It surfaces state data to the human and stores their response.","State persists via LangGraph checkpointing. If the human does not respond execution pauses indefinitely and can be resumed later — no timeout crash. No data is lost during the pause.","ticket_analysis; usage_analysis; sentiment_analysis",analysis_human_feedback,"Unconditional → synthesise","Feedback-as-Context pattern: the human's input shapes what the synthesise node knows / not which node runs next. The interrupt payload should present analyses in a format optimised for review — not raw JSON but formatted scores / findings / evidence per dimension."
synthesise,"Combine analysis outputs (potentially corrected by human feedback) into risks / opportunities / and an overall health score",LLM Analysis,LLM (Claude),"1. Load all three analysis outputs from state (ticket_analysis / usage_analysis / sentiment_analysis). 2. Load human feedback from analysis_human_feedback (if present — may be None on first pass or if human confirmed without changes). 3. Load CRM contract context from crm_data (ARR / contract_end / renewal_date). 4. Load health_scoring section from scoring rubric config. 5. Pass all inputs to a single synthesis LLM prompt. 6. Parse the structured JSON response and store: risks / opportunities / health_score / health_justification in state. 7. Cross-reference findings with contract renewal timeline to surface time-sensitive risks.","Provide the three analysis outputs (ticket_analysis / usage_analysis / sentiment_analysis) + reviewer corrections from analysis_human_feedback (if present — include as a 'Human reviewer notes' section when not None) + CRM contract context (arr / contract_end / renewal_date from crm_data). Load the health_scoring section from the scoring rubric config as the evaluation framework. Output format: JSON with keys {health_score: str / health_justification: str / risks: [{risk: str / severity: str / evidence: str / mitigation: str}] / opportunities: [{opportunity: str / evidence: str / next_step: str}]}.","If the LLM returns malformed JSON: retry with a stricter format instruction (up to 2 retries). If retries exhausted: escalate via interrupt() with the available analysis data so the human can produce the synthesis manually. If upstream analysis dimensions have 'Unknown' scores (from data gaps the human did not override at the analysis checkpoint): include them as-is — the LLM is instructed to flag gaps rather than infer from absence.","ticket_analysis; usage_analysis; sentiment_analysis; analysis_human_feedback; crm_data","risks; opportunities; health_score; health_justification","Unconditional → generate_report","Consolidates Scope Steps 8-9. These steps were originally tagged HIL but were converted to automated via Consolidation Principle 2: the upstream hil_review_analysis checkpoint validates the inputs / and with confirmed data + a well-defined scoring framework the synthesis is deterministic enough to automate."
generate_report,Produce the final structured report document and executive summary from synthesis outputs,LLM Generation,LLM (Claude) — two calls: one for the report and one for the exec summary,"1. Load all analysis outputs / synthesis outputs / and CRM context from state. 2. On revision passes: load report_human_feedback and include as revision instructions. 3. Call LLM with a report generation prompt using a seven-section template (Account Overview / Ticket Health / Product Engagement / Sentiment / Risks & Opportunities / Health Score / Recommended Actions). 4. Store the generated report in report_markdown. 5. Call LLM with an exec summary prompt — provide the completed report_markdown and ask for a 3-5 sentence plain text summary. 6. Store the summary in exec_summary.","Two prompts in sequence. (1) Report prompt: provide all analysis outputs (ticket_analysis / usage_analysis / sentiment_analysis) + all synthesis outputs (health_score / health_justification / risks / opportunities) + CRM contract context (arr / contract_end / renewal_date from crm_data). On revision passes include report_human_feedback as revision instructions. Output format: structured Markdown with seven template sections. (2) Exec summary prompt: provide the completed report_markdown. Output format: 3-5 sentence plain text summary.","The LLM output is free-form Markdown / not structured JSON / so JSON parse failures do not apply. Content-quality issues are caught by the downstream hil_review_report checkpoint — the human can send the report back for revision via the revise path or back to analysis via the rework path. This is error handling by design: the HIL checkpoint serves as the quality gate.","ticket_analysis; usage_analysis; sentiment_analysis; health_score; health_justification; risks; opportunities; crm_data; report_human_feedback (on revision pass)","report_markdown; exec_summary","Unconditional → hil_review_report","Consolidates Scope Steps 10-11. The exec summary is generated after the report because it is derived from the completed report text. Two sequential LLM calls within the same node."
hil_review_report,Present the complete report package to the human for final review with approve / revise / rework decision options,HIL Feedback-as-Control-Flow,"None — uses interrupt() to pause execution","1. Format the complete report package: report_markdown + exec_summary + health_score + risks + opportunities. 2. Call interrupt() with the formatted payload and explicit decision options (approved / revise / rework). Execution pauses here. 3. When the human responds via Command(resume={decision: str / instructions: str}): store the decision in report_review_decision. 4. Route the instructions to the correct state field based on the decision: if 'revise' → store instructions in report_human_feedback (read by generate_report on next pass). If 'rework' → store instructions in rework_instructions (read by analyse_health on next pass). If 'approved' → no instructions needed. 5. The routing function reads report_review_decision and returns the target node.","N/A — this node makes no LLM calls. It surfaces the report package to the human and processes their structured response.","State persists via LangGraph checkpointing — an unresponsive human does not crash the graph. Execution resumes whenever the human provides input. The routing function validates that the decision is one of 'approved' / 'revise' / 'rework' and raises ValueError on an unrecognised value / preventing silent misrouting to an undefined node.","report_markdown; exec_summary; health_score; risks; opportunities","report_review_decision; report_human_feedback (revise path); rework_instructions (rework path)","Conditional: approved → END; revise → generate_report; rework → analyse_health","Feedback-as-Control-Flow pattern: the human's decision determines which node runs next. The revise path re-runs only report generation; the rework path re-runs analysis and everything downstream. This gives the reviewer proportional control — minor wording issues use revise while fundamental analysis errors use rework."
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
